logFC,AveExpr,target,P.Value,adj.P.Val,B,label
-1.365655856,2.158146982,-3.898823158,0.00023048,0.031289996,-0.910098593,MAOB
-1.374463621,2.817209753,-3.894294758,0.000233998,0.031611057,-0.924609356,TNXB
-1.336623669,1.909093958,-3.884019455,0.000242171,0.032354924,-0.957496466,PTGIS
-1.368098113,2.003164649,-3.880845727,0.000244751,0.032414604,-0.967643331,FGR
-1.074462724,1.501950833,-3.880186288,0.00024529,0.032414604,-0.969751003,MS4A2
-1.226508788,4.232255491,-3.879206868,0.000246093,0.032450025,-0.972880971,NHERF2
-2.273030701,4.15297899,-3.874106155,0.000250316,0.032659093,-0.989173516,RGCC
-1.110442477,1.779736083,-3.87404065,0.000250371,0.032659093,-0.989382665,ABLIM3
-1.071561999,4.935692616,-3.871343293,0.000252632,0.032883398,-0.997992968,FABP5
-1.149684676,1.943681563,-3.864501271,0.000258457,0.033219379,-1.019816708,HEY1
-1.80223472,2.231012765,-3.863541469,0.000259285,0.033219379,-1.022876215,WIF1
-1.17490004,3.812292196,-3.861295513,0.000261231,0.033219379,-1.030033661,SORBS3
-1.358856567,3.419700016,-3.860317507,0.000262083,0.033219379,-1.03314957,PTPRB
-1.651976291,3.669555894,-3.859433677,0.000262855,0.033219379,-1.035965009,SUSD2
-1.040355205,1.832587679,-3.859014569,0.000263222,0.033219379,-1.037299935,HSD11B1
-1.359029973,2.167434585,-3.853782369,0.000267843,0.03363621,-1.05395766,ANGPT1
1.457742706,1.736999285,3.851602521,0.000269791,0.033723449,-1.060893433,CLDN2
-1.914790997,3.271339507,-3.851140894,0.000270206,0.033723449,-1.062361908,PDK4
-1.578486528,2.814092636,-3.847356681,0.000273625,0.033871456,-1.074395626,LPL
-1.310636195,2.239090878,-3.832161663,0.000287778,0.035121707,-1.122640306,RASSF2
-1.083501877,1.411012606,-3.828390583,0.000291398,0.03542093,-1.13459492,ADAMTSL3
-1.700795257,5.329707405,-3.823220641,0.000296431,0.035822745,-1.15097192,SFTPD
-1.895158134,4.384882641,-3.822698698,0.000296944,0.035822745,-1.152624515,EMP2
-1.018572049,2.232256407,-3.821417416,0.000298207,0.035822745,-1.156680756,COL6A6
-1.152068772,2.095209047,-3.821376196,0.000298247,0.035822745,-1.156811235,MAP2
-1.069791409,1.684912538,-3.819702939,0.000299904,0.035922798,-1.162107042,HEYL
-1.054745185,1.481854214,-3.818195501,0.000301404,0.035922798,-1.166876778,IQCN
-1.02377942,5.241057091,-3.815576543,0.000304027,0.036123842,-1.175160669,FKBP1A
-1.764012898,5.308098879,-3.810635283,0.000309035,0.036385172,-1.190780284,SPTBN1
-1.208769041,2.073047702,-3.810429187,0.000309245,0.036385172,-1.191431487,SHROOM4
-1.476534295,2.743507719,-3.809508484,0.000310188,0.036392188,-1.194340361,ACVRL1
-1.699775041,2.646725691,-3.808625768,0.000311094,0.036428047,-1.197128801,SCN7A
-1.7368298,3.30139521,-3.799332243,0.00032079,0.037133297,-1.226461426,GPC3
1.003700192,1.440925,3.798290627,0.000321895,0.037138151,-1.229746173,PODXL2
-1.36789697,2.587612494,-3.79572419,0.000324632,0.037364081,-1.23783701,LRRC32
-1.013233289,1.184898248,-3.794734885,0.000325693,0.037415207,-1.240954918,LGALS2
1.156130729,1.12762719,3.793015503,0.000327545,0.03753684,-1.246372513,ZFPM2-AS1
-1.059865131,5.492982935,-3.790924756,0.00032981,0.037674165,-1.252958127,SDCBP
-1.201898827,2.43041895,-3.774402039,0.00034825,0.039190049,-1.304921052,FGFR2
-1.176708308,1.714770405,-3.773276378,0.000349541,0.039262542,-1.308455893,RASL12
-1.017441749,1.332923948,-3.770957539,0.000352216,0.039489873,-1.315735462,PCOLCE2
-1.045073804,1.346161227,-3.761289576,0.000363581,0.040170083,-1.346055276,BCHE
1.113547292,1.191420839,3.747495162,0.000380406,0.041649618,-1.389229311,HS6ST2
-3.050835783,4.405285599,-3.741325075,0.00038817,0.042296384,-1.408507431,HBA1
-1.060864178,1.788077213,-3.741140088,0.000388405,0.042296384,-1.409085094,PGM5
-1.289560139,2.200587666,-3.737273734,0.00039335,0.042681627,-1.421154463,ANKRD29
-1.484902695,2.878421531,-3.728335764,0.000405013,0.043790466,-1.449024654,LHFPL6
-1.070647284,1.248009326,-3.727497537,0.000406123,0.043832409,-1.451636175,RBP7
-1.557318633,3.425820686,-3.719725213,0.00041656,0.044483947,-1.475832941,CD93
-1.446264064,2.575638105,-3.71518191,0.000422779,0.044861842,-1.489961929,ANOS1
-1.59660508,5.974066585,-3.708831848,0.00043162,0.045531077,-1.509690833,SELENOP
1.548181807,3.958905492,3.707256492,0.000433841,0.045606684,-1.514581877,BAIAP2L1
-1.613584385,4.077527525,-3.703134755,0.000439702,0.046063191,-1.527372316,SLC39A8
-1.736211615,5.983614301,-3.700564621,0.000443396,0.046369996,-1.535343172,EPAS1
-1.209677969,2.789185108,-3.697293321,0.000448139,0.046624905,-1.545483354,SEMA3B
-2.869533689,5.836251016,-3.695829005,0.000450278,0.046767228,-1.550020456,HBA2
-1.625561591,3.878247191,-3.69327678,0.000454029,0.047076253,-1.557925574,NDNF
-1.031430736,1.760533988,-3.691176351,0.000457139,0.047133887,-1.564428645,CMKLR1
-1.017393252,3.506468645,-3.688395708,0.000461287,0.047263235,-1.573033979,GIMAP4
-1.216418895,1.803284037,-3.682807965,0.000469732,0.047885785,-1.590313681,MYZAP
-1.375403565,2.664806008,-3.67595083,0.000480296,0.048564841,-1.611495404,THBD
-1.434071031,4.452087219,-3.675886633,0.000480396,0.048564841,-1.611693585,LIMCH1
-1.504655395,4.559851953,-3.66973207,0.000490073,0.049296606,-1.630682759,TACC1
-1.206452577,3.415994678,-3.665827331,0.000496308,0.049696697,-1.642719516,PKIG
-3.502428087,6.466672292,-3.664349604,0.000498688,0.049696697,-1.647272562,None
-1.105735534,3.124692961,-3.664177094,0.000498966,0.049696697,-1.647804005,CHI3L2
-1.406868281,2.495471738,-3.663178872,0.00050058,0.049775752,-1.650878861,SCEL
